Ware_house_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,is_unrated_warehouse,wh_est_year_missing
WH_100175,Rural,Mid,South,Zone 3,3,0,2,4547,Company Owned,24,0,0,1,246,34,2009,5,0,A,3,19,6134,0,1
WH_100176,Rural,Mid,South,Zone 4,3,0,2,7896,Rented,63,0,0,0,176,15,2023,0,0,Unrated,0,26,6057,1,0
WH_100177,Rural,Mid,West,Zone 3,8,3,4,3583,Rented,24,0,0,1,227,27,2009,5,0,B,6,19,6106,0,1
WH_100178,Rural,Large,South,Zone 5,8,0,2,4532,Company Owned,40,0,0,1,212,27,2008,24,1,B,5,14,31076,0,0
WH_100179,Rural,Mid,North,Zone 2,1,0,2,8236,Company Owned,26,0,0,1,267,29,2009,9,0,B,1,1,12129,0,1
WH_100180,Rural,Large,North,Zone 6,0,1,3,3988,Rented,28,0,0,1,211,30,2009,29,0,A+,4,28,38151,0,1
WH_100181,Urban,Mid,South,Zone 4,4,3,2,6468,Rented,24,0,0,0,80,29,2009,12,0,A,4,26,15087,0,1
WH_100182,Rural,Mid,West,Zone 4,7,0,4,5620,Company Owned,68,0,0,1,221,25,2008,22,1,A+,5,11,32056,0,0
WH_100183,Rural,Large,North,Zone 6,5,0,2,5598,Company Owned,27,0,0,1,175,29,2005,25,1,B,2,28,30056,0,0
WH_100184,Rural,Small,North,Zone 1,0,0,2,6015,Rented,31,0,0,1,195,30,2009,14,0,A+,4,3,18127,0,1
WH_100185,Rural,Mid,West,Zone 4,0,0,4,4207,Rented,61,1,0,1,189,30,2009,15,0,B,6,11,18066,0,1
WH_100186,Rural,Large,North,Zone 6,6,2,3,4752,Company Owned,28,0,0,1,170,40,2009,5,1,B,2,28,6111,0,1
WH_100187,Urban,Mid,North,Zone 4,0,0,4,4739,Rented,55,0,0,1,198,38,2009,39,0,A,5,26,52109,0,1
WH_100188,Rural,Mid,West,Zone 4,6,2,4,4862,Company Owned,21,0,0,0,149,29,2009,0,0,Unrated,0,11,3142,1,1
WH_100189,Rural,Large,North,Zone 6,1,1,4,5211,Rented,33,0,0,1,190,33,2009,4,0,C,1,28,6059,0,1
WH_100190,Rural,Large,North,Zone 6,4,3,2,5558,Rented,47,1,0,0,159,40,2016,5,1,A,3,28,8059,0,0
WH_100191,Rural,Mid,South,Zone 3,1,0,2,6927,Company Owned,36,1,0,0,106,28,2009,18,0,C,4,27,23122,0,1
WH_100192,Rural,Mid,West,Zone 2,3,0,5,4637,Rented,64,0,0,0,170,18,2022,0,0,Unrated,0,1,13142,1,0
WH_100193,Rural,Small,North,Zone 1,3,1,4,5059,Company Owned,43,1,0,1,206,34,1999,33,0,B+,6,31,39139,0,0
WH_100194,Rural,Small,South,Zone 1,0,0,4,4560,Rented,29,0,0,0,225,26,2009,13,0,A+,1,21,17148,0,1
WH_100195,Rural,Small,South,Zone 1,1,0,2,4847,Company Owned,53,0,0,0,230,20,2009,0,0,Unrated,0,21,5058,1,1
WH_100196,Rural,Mid,South,Zone 4,2,0,2,6499,Company Owned,41,0,0,1,190,35,2009,11,0,A,5,26,14108,0,1
WH_100197,Rural,Large,North,Zone 6,8,1,3,5606,Company Owned,68,0,0,1,214,25,2009,12,1,A,4,23,16066,0,1
WH_100198,Rural,Large,West,Zone 6,0,0,5,8052,Company Owned,22,0,0,1,101,21,2009,19,0,A,6,23,25126,0,1
