Ware_house_ID,split,breakdown_risk,product_wg_ton,storage_issue_reported_l3m,num_refill_req_l3m,govt_check_l3m,transport_issue_l1y,wh_est_year,workers_num,dist_from_hub,Competitor_in_mkt,retail_shop_num,distributor_num,electric_supply,temp_reg_mach,flood_proof,flood_impacted,is_unrated_warehouse,wh_est_year_missing,certificate_grade,capacity_size,Location_type_Urban,wh_owner_type_Rented,zone_East,zone_South,zone_West,WH_regional_zone_Zone_1,WH_regional_zone_Zone_2,WH_regional_zone_Zone_3,WH_regional_zone_Zone_4,WH_regional_zone_Zone_5
WH_100017,test,High Risk,17134,13,0,12,1,2009,22,261,2,5539,28,1,0,0,0,0,1,4,2,0,0,0,0,1,0,1,0,0,0
WH_100018,train,High Risk,38082,29,4,27,1,2001,22,159,4,4598,58,1,1,0,0,0,0,5,2,0,1,0,0,0,0,0,1,0,0
WH_100019,train,Not High Risk,27100,22,1,21,1,2009,24,189,2,5679,19,1,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0
WH_100020,test,High Risk,24062,19,8,1,0,2016,41,65,2,5678,31,1,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0
WH_100021,train,High Risk,17117,14,6,19,0,2010,31,156,2,3980,49,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,0,0
WH_100022,test,High Risk,40150,28,5,8,0,1997,24,199,4,3588,69,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
WH_100023,train,High Risk,32098,25,8,19,1,2003,37,80,2,4388,32,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0
WH_100024,train,Not High Risk,15125,12,1,14,0,2009,31,140,4,5670,25,1,0,0,0,0,1,1,3,1,1,0,0,1,0,0,0,0,1
WH_100025,train,Not High Risk,26066,22,7,27,1,2006,31,67,3,5496,46,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
WH_100026,train,High Risk,10077,8,5,9,3,2009,21,229,4,4063,40,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
WH_100027,test,High Risk,14150,11,8,9,3,2009,36,98,2,5790,31,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
WH_100028,test,Not High Risk,3123,0,3,8,1,2009,20,154,1,7692,62,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
WH_100029,train,Not High Risk,8056,6,8,6,0,2019,24,261,4,5119,48,0,1,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0
WH_100030,train,High Risk,15082,12,5,11,0,2017,17,230,4,4552,67,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0,1,0
WH_100031,train,High Risk,21064,18,4,23,0,2009,19,164,2,3540,21,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
WH_100032,train,High Risk,45061,34,4,12,0,2003,29,197,3,3559,51,1,0,0,0,0,0,4,2,0,0,0,1,0,0,1,0,0,0
WH_100033,train,Not High Risk,21116,14,7,26,0,2015,24,80,2,6695,51,1,1,0,0,0,0,5,2,0,1,0,1,0,0,0,0,1,0
WH_100034,test,Not High Risk,22055,16,4,2,0,2012,46,262,2,5329,57,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
WH_100035,test,Not High Risk,4141,0,0,24,1,2009,30,80,4,5353,28,1,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,1
WH_100036,train,High Risk,42116,34,5,14,0,1998,24,125,3,4031,59,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1
WH_100037,test,High Risk,19100,17,0,27,1,2009,29,77,8,6804,59,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,1,0,0
WH_100038,train,Not High Risk,6117,0,5,23,0,2021,33,94,4,6915,16,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0
WH_100039,train,Not High Risk,47071,38,7,19,0,2006,43,153,3,4243,23,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0
WH_100040,train,High Risk,32117,23,3,23,0,2004,32,80,4,6729,21,1,1,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0
WH_100041,train,High Risk,31087,25,1,21,0,2009,30,216,1,4487,46,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
WH_100042,train,Not High Risk,20149,16,5,28,2,2009,26,247,2,4714,17,0,1,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0
WH_100043,train,High Risk,31139,25,5,28,0,2000,28,123,2,3285,56,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
WH_100044,train,High Risk,27137,22,7,23,1,2005,20,167,2,4922,22,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0
WH_100045,train,Not High Risk,31113,21,7,14,0,2015,38,220,3,5667,63,1,1,0,0,0,0,5,3,1,0,0,0,1,0,0,0,0,1
WH_100046,test,Not High Risk,20092,15,1,26,1,2009,30,134,3,5551,30,0,0,0,0,0,1,4,2,0,1,0,1,0,0,0,0,1,0
WH_100047,train,High Risk,49083,36,3,28,0,1998,39,216,3,4200,57,1,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0
WH_100048,train,Not High Risk,10145,9,1,29,0,2009,40,64,2,5601,53,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0
WH_100049,train,High Risk,44116,31,3,10,0,2000,26,196,3,3700,66,1,1,0,0,0,0,5,3,1,0,0,1,0,0,0,0,0,1
WH_100050,train,High Risk,8127,6,4,19,0,2016,23,240,4,4020,36,0,1,0,0,0,0,5,2,0,1,0,0,1,0,0,1,0,0
WH_100051,test,Not High Risk,27128,20,4,6,0,2009,23,85,4,4472,50,1,1,0,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0
WH_100052,train,High Risk,20127,16,3,26,0,2009,31,242,5,4248,29,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0
WH_100053,train,High Risk,23149,18,6,1,1,2008,19,190,2,3943,38,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0
WH_100054,train,Not High Risk,23134,18,4,27,0,2011,27,253,2,4897,44,0,1,0,0,0,0,5,2,0,1,0,1,0,0,0,1,0,0
WH_100055,train,Not High Risk,18150,14,3,13,0,2015,24,66,4,4524,55,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
WH_100056,train,High Risk,10080,9,6,23,0,2014,20,229,4,5559,49,0,1,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
WH_100057,train,Not High Risk,19095,17,2,23,4,2009,39,77,2,5308,69,1,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0
WH_100058,train,High Risk,32057,25,1,21,1,2009,27,168,2,4004,38,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0
WH_100059,train,High Risk,28127,21,8,17,0,2010,34,219,2,7311,62,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1
WH_100060,train,High Risk,27107,23,4,30,0,2000,17,110,2,4657,39,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,0,0,0
WH_100061,test,Not High Risk,44129,31,2,13,0,2009,30,69,4,3810,54,1,1,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0
WH_100062,train,High Risk,13061,10,7,23,0,2012,29,239,4,4445,47,1,1,1,1,0,0,5,3,0,1,0,1,0,0,0,0,0,0
WH_100063,train,High Risk,25145,20,3,32,1,2011,26,237,2,5193,30,0,1,0,0,0,0,5,2,0,1,0,1,0,0,1,0,0,0
WH_100064,test,Not High Risk,26060,22,1,7,1,2009,16,113,2,4770,37,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
WH_100065,train,Not High Risk,28143,25,5,25,0,1999,32,181,4,5772,28,1,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,1
WH_100066,train,High Risk,44116,32,4,26,0,2000,22,255,4,6074,49,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0
WH_100067,test,High Risk,27069,22,1,17,0,2009,25,90,3,6720,30,1,0,1,0,0,1,3,3,0,1,0,0,0,0,0,0,0,1
WH_100068,train,High Risk,34108,27,7,26,0,2003,19,151,2,4135,68,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,0,1,0
WH_100069,train,Not High Risk,11134,9,6,32,1,2009,35,112,3,3880,23,1,1,1,0,0,1,3,2,0,0,0,1,0,0,1,0,0,0
WH_100070,train,Not High Risk,22121,17,2,32,1,2009,44,196,2,4821,68,1,1,0,0,0,1,1,2,0,1,0,1,0,0,1,0,0,0
WH_100071,train,High Risk,21076,16,3,22,5,2009,38,90,2,4197,29,1,1,0,0,0,1,5,2,0,0,0,0,0,0,1,0,0,0
WH_100072,train,Not High Risk,18149,14,6,23,0,2014,29,58,2,3820,50,1,1,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
WH_100073,train,High Risk,27151,22,2,6,3,2009,22,140,3,3973,36,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0
WH_100074,train,Not High Risk,17143,13,2,19,0,2009,29,255,2,4244,38,1,1,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0
WH_100075,train,High Risk,21130,16,6,24,0,2010,28,256,3,2802,40,1,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1
WH_100076,train,High Risk,18118,14,0,29,1,2009,38,95,1,8913,55,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0
WH_100077,test,Not High Risk,30115,26,3,12,0,2009,37,84,2,5309,16,1,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0
WH_100078,train,Not High Risk,10060,8,0,15,0,2009,22,83,4,5957,33,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
WH_100079,train,High Risk,8102,6,8,26,2,2009,18,173,4,3919,49,0,1,0,0,0,1,5,2,0,1,0,0,1,0,0,0,1,0
WH_100080,train,Not High Risk,20090,18,5,23,0,2008,25,212,4,7117,23,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0
WH_100081,train,High Risk,17140,14,2,15,1,2009,11,158,2,4339,63,1,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0
WH_100082,train,Not High Risk,22100,18,4,24,2,2009,21,103,4,4407,19,1,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,1
WH_100083,train,High Risk,35130,26,1,28,0,2009,34,55,4,4760,48,1,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0
WH_100084,train,High Risk,17097,13,7,17,0,2013,32,257,2,5526,27,1,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1
WH_100085,train,Not High Risk,24113,18,8,32,0,2011,31,70,2,5245,18,0,1,1,0,0,0,3,2,1,1,0,1,0,0,1,0,0,0
WH_100086,train,High Risk,39115,28,4,31,0,1996,37,160,4,4564,56,1,1,1,0,0,0,5,1,0,0,1,0,0,1,0,0,0,0
WH_100087,train,Not High Risk,18123,14,7,14,0,2012,33,181,2,6633,27,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,1
WH_100088,train,Not High Risk,5103,4,1,28,1,2009,28,220,2,6917,35,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
WH_100089,train,High Risk,7118,6,7,26,0,2019,43,96,3,4156,39,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0
WH_100090,train,High Risk,18117,14,1,26,1,2009,26,108,4,4980,36,1,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,1,0
WH_100091,train,Not High Risk,28094,23,8,14,1,2011,28,271,3,4821,59,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
WH_100092,train,Not High Risk,31059,24,0,6,2,2009,25,124,5,4456,38,1,0,1,0,0,1,4,3,0,1,0,0,1,0,0,0,0,0
WH_100093,train,High Risk,18080,16,5,19,2,2009,17,263,2,4824,45,0,0,0,0,0,1,3,2,0,1,0,1,0,0,0,1,0,0
WH_100094,train,Not High Risk,16060,14,5,29,2,2009,22,239,4,3520,45,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0
WH_100095,train,Not High Risk,27150,22,2,19,0,2009,17,234,4,4739,17,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,1,0,0
WH_100096,train,Not High Risk,46100,34,7,11,0,1997,23,109,4,5299,35,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0
WH_100097,train,High Risk,19131,14,0,28,1,2009,25,198,2,5239,65,1,0,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0
WH_100098,train,High Risk,7105,6,1,20,0,2009,23,182,2,6086,38,0,0,0,0,0,1,3,2,0,1,0,1,0,0,0,0,1,0
WH_100099,test,Not High Risk,14130,0,3,26,0,2021,27,173,3,4477,34,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
WH_100100,train,Not High Risk,31133,24,7,1,0,1997,39,114,4,5118,39,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
WH_100101,train,Not High Risk,10140,8,1,32,0,2009,29,166,2,5104,28,1,0,0,0,0,1,3,2,0,1,0,1,0,0,1,0,0,0
WH_100102,test,High Risk,22122,18,2,26,0,2009,32,151,5,5218,24,1,0,0,0,0,1,5,2,0,1,0,0,0,0,0,0,1,0
WH_100103,test,Not High Risk,18139,14,6,26,0,2016,32,96,4,5117,51,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0
WH_100104,test,High Risk,29073,23,1,11,1,2009,27,158,5,5392,58,1,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0
WH_100105,train,High Risk,17058,12,5,12,0,2015,24,141,4,4221,54,1,1,0,1,0,0,5,2,0,0,0,0,1,0,1,0,0,0
WH_100106,train,High Risk,20057,16,5,26,0,2014,29,261,3,6299,21,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0
WH_100107,train,Not High Risk,14103,10,5,14,0,2020,20,165,2,6541,52,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1
WH_100108,train,High Risk,8070,6,7,11,0,2017,25,204,4,5879,67,1,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0
WH_100109,train,High Risk,14105,11,7,29,1,2009,27,262,3,3430,34,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
WH_100110,train,Not High Risk,9114,7,6,25,1,2009,44,141,2,5285,62,1,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,1
WH_100111,train,Not High Risk,5105,4,5,11,0,2009,29,60,3,5153,64,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,1,0
WH_100112,train,Not High Risk,14114,12,7,23,3,2009,22,130,5,2748,56,0,0,0,0,0,1,3,3,0,1,0,0,1,0,0,0,0,0
WH_100113,test,High Risk,22062,18,2,26,1,2009,12,254,3,6590,27,1,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,1,0
WH_100114,train,High Risk,24111,18,7,32,0,2010,31,227,2,3795,28,1,1,0,0,0,0,5,2,0,1,0,1,0,0,1,0,0,0
WH_100115,train,High Risk,28121,20,4,9,0,2008,27,247,2,5278,51,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0
WH_100116,train,High Risk,50124,37,3,1,0,1997,22,78,4,4418,64,1,0,0,0,0,0,4,2,0,1,0,0,1,0,1,0,0,0
WH_100117,train,Not High Risk,6106,0,5,32,0,2023,18,248,3,4204,67,0,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0
WH_100118,test,High Risk,36111,28,2,2,1,2009,31,252,2,4292,49,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
WH_100119,train,Not High Risk,8097,7,2,25,0,2009,23,261,3,6780,40,1,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,1
WH_100120,train,High Risk,16150,14,7,15,3,2009,33,177,3,3046,69,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0
WH_100121,train,High Risk,19088,15,5,29,0,2010,27,105,2,4119,31,1,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0
WH_100122,train,Not High Risk,34129,26,4,3,0,2000,29,69,4,5340,49,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
WH_100123,test,Not High Risk,5103,4,4,14,2,2009,33,79,3,6298,51,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1
WH_100124,train,High Risk,26132,22,3,14,1,2009,29,232,3,5243,40,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,1
WH_100125,train,Not High Risk,36131,30,2,11,1,2009,33,66,2,6320,38,1,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,1,0
WH_100126,train,High Risk,20065,18,8,27,0,2009,27,171,2,4172,68,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0
WH_100127,train,High Risk,19124,15,8,31,0,2011,25,161,8,3948,54,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0
WH_100128,train,High Risk,24128,21,6,12,0,2009,24,110,2,4078,49,1,0,0,0,0,1,3,2,0,0,0,1,0,0,1,0,0,0
WH_100129,train,Not High Risk,27085,20,4,12,0,2014,32,92,2,4430,33,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
WH_100130,train,High Risk,33074,26,8,13,1,1998,26,262,3,5041,31,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
WH_100131,train,Not High Risk,6079,5,7,32,0,2022,40,223,3,3825,54,1,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0
WH_100132,test,High Risk,30106,24,1,3,1,2009,39,144,2,4554,31,1,0,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,0
WH_100133,train,High Risk,21064,15,8,27,0,2010,31,86,3,4334,53,1,1,0,0,0,0,5,2,0,0,0,1,0,0,0,1,0,0
WH_100134,test,High Risk,14062,11,6,21,1,2009,36,225,4,5013,32,1,1,0,1,0,1,5,1,0,0,0,0,0,1,0,0,0,0
WH_100135,train,High Risk,31107,24,8,26,1,2006,31,128,3,4670,55,1,0,1,0,0,0,4,2,0,0,0,1,0,0,0,0,1,0
WH_100136,train,High Risk,21093,16,4,5,3,2009,18,196,2,5862,26,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,1
WH_100137,test,High Risk,12055,9,7,23,0,2014,32,145,4,4393,59,1,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0
WH_100138,train,Not High Risk,8146,6,1,19,1,2009,25,99,4,5150,48,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0
WH_100139,test,Not High Risk,24069,18,7,15,1,2013,39,115,7,6062,32,1,1,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0
WH_100140,test,High Risk,19128,15,4,28,2,2002,37,187,5,4396,58,1,1,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0
WH_100141,train,Not High Risk,6090,4,1,3,0,2009,31,58,6,4279,55,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
WH_100142,test,Not High Risk,28133,20,1,23,0,2009,42,114,2,3775,17,1,0,0,1,0,1,5,3,0,0,0,0,1,0,0,0,0,0
WH_100143,train,High Risk,21136,17,3,16,0,2015,24,200,2,4480,50,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0
WH_100144,train,High Risk,12118,10,2,14,0,2009,18,260,3,4937,40,0,0,0,0,0,1,2,3,0,1,0,1,0,0,0,0,0,1
WH_100145,train,High Risk,48139,39,1,26,0,2009,27,215,2,4763,16,1,0,0,1,0,1,3,2,0,0,0,1,0,0,0,0,1,0
WH_100146,train,High Risk,28151,21,7,3,3,2006,18,97,4,4838,26,0,1,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0
WH_100147,train,High Risk,30126,24,3,26,0,2000,35,106,3,5861,55,1,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0
WH_100148,test,Not High Risk,27147,22,7,17,1,2009,25,134,3,5420,58,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
WH_100149,train,High Risk,23135,18,6,32,0,2011,24,133,2,4114,53,0,1,0,0,0,0,2,2,0,1,0,1,0,0,1,0,0,0
WH_100150,train,High Risk,26084,23,0,19,0,2009,45,218,5,4028,58,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0
WH_100151,test,Not High Risk,30105,24,0,26,0,2009,32,119,2,4024,66,0,0,0,0,0,1,5,2,0,0,0,1,0,0,0,0,1,0
WH_100152,train,Not High Risk,26123,21,1,27,2,2009,22,206,3,4790,47,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0
WH_100153,train,High Risk,30145,26,6,19,0,2002,19,80,4,4340,18,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,1,0,0
WH_100154,train,High Risk,27112,24,5,27,5,2009,26,239,2,3826,50,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0
WH_100155,train,Not High Risk,6097,4,1,9,4,2009,31,94,3,4818,55,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
WH_100156,train,Not High Risk,27058,23,3,17,0,2007,26,256,4,4137,50,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
WH_100157,train,High Risk,15110,12,1,30,0,2009,32,206,3,4884,31,1,0,1,0,0,1,3,1,0,1,0,0,1,1,0,0,0,0
WH_100158,train,Not High Risk,27119,20,4,28,0,2012,32,181,3,4497,52,1,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0
WH_100159,test,Not High Risk,23137,19,1,30,0,2009,28,233,4,4751,43,1,0,0,0,0,1,3,1,0,1,0,0,1,1,0,0,0,0
WH_100160,test,High Risk,34138,26,1,28,0,2009,40,234,4,4107,68,1,0,0,1,0,1,4,3,0,1,0,0,0,0,0,0,0,0
WH_100161,train,High Risk,19103,15,4,11,1,2009,20,234,4,5443,45,1,0,0,0,0,1,4,2,0,1,0,0,1,0,0,0,1,0
WH_100162,train,High Risk,23084,20,5,25,0,2009,23,160,3,4948,45,1,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,1
WH_100163,test,Not High Risk,18151,13,4,22,0,2018,28,164,2,6385,46,0,1,1,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0
WH_100164,train,High Risk,29116,25,4,6,0,1997,30,235,5,4583,19,1,0,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
WH_100165,train,Not High Risk,28064,24,2,6,0,2009,20,248,2,5017,37,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
WH_100166,train,High Risk,40088,32,5,27,0,2000,29,91,4,4760,53,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0
WH_100167,train,Not High Risk,15090,10,3,12,0,2017,47,152,4,3972,30,1,1,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0
WH_100168,train,Not High Risk,32055,24,5,23,1,2009,29,240,3,5981,18,1,1,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0
WH_100169,train,Not High Risk,43066,33,3,26,0,2006,25,81,2,3521,65,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0
WH_100170,test,High Risk,7120,6,4,15,3,2017,30,187,3,8736,63,1,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0
WH_100171,train,High Risk,21059,14,8,29,0,2016,22,264,2,5390,70,0,1,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0
WH_100172,train,Not High Risk,8100,6,8,27,0,2017,35,142,3,4671,43,1,0,0,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0
WH_100173,train,Not High Risk,16116,13,7,28,1,2015,23,101,3,8137,33,1,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
WH_100174,train,High Risk,19114,15,3,26,1,2009,31,186,2,6614,60,1,0,0,0,0,1,4,2,0,0,0,0,1,0,0,0,1,0
WH_100175,test,Not High Risk,6134,5,3,19,0,2009,34,246,2,4547,24,1,0,0,0,0,1,4,2,0,0,0,1,0,0,0,1,0,0
WH_100176,test,Not High Risk,6057,0,3,26,0,2023,15,176,2,7896,63,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0
WH_100177,train,High Risk,6106,5,8,19,3,2009,27,227,4,3583,24,1,0,0,0,0,1,2,2,0,1,0,0,1,0,0,1,0,0
WH_100178,test,High Risk,31076,24,8,14,0,2008,27,212,2,4532,40,1,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,1
