Ware_house_ID,product_wg_ton,num_refill_req_l3m,transport_issue_l1y,wh_breakdown_l3m
WH_100626,28058,5,0,2
WH_100628,39092,8,1,4
WH_100629,19055,2,2,5
WH_100630,11133,3,0,4
WH_100631,29135,3,0,3
WH_100632,30114,4,0,3
WH_100633,31135,8,0,6
WH_100634,11077,6,0,6
WH_100635,10098,7,0,6
WH_100636,17096,2,0,6
WH_100637,18128,8,1,2
WH_100638,5139,7,2,2
WH_100639,28100,1,3,3
WH_100640,37094,5,0,5
WH_100642,23099,3,0,2
WH_100643,21093,8,0,2
WH_100644,11107,7,4,6
WH_100645,24073,3,0,6
WH_100646,21075,7,0,4
WH_100647,18112,7,0,2
WH_100648,18088,7,1,2
WH_100649,7084,0,0,2
WH_100650,40090,6,0,5
WH_100651,28071,1,2,4
WH_100652,24126,7,0,3
WH_100653,20088,2,0,3
WH_100654,33144,1,0,6
WH_100655,9134,4,0,2
WH_100656,18083,1,0,5
WH_100657,5084,2,0,2
WH_100658,25102,3,1,4
WH_100660,32081,4,4,3
WH_100661,28097,4,2,5
WH_100662,20097,0,0,6
WH_100663,32072,6,1,2
WH_100664,13118,2,0,6
WH_100665,23080,3,0,5
WH_100666,15083,8,1,2
WH_100667,37145,4,0,4
WH_100668,27139,6,1,6
WH_100669,10132,1,0,2
WH_100670,24149,6,2,3
WH_100671,15090,8,2,3
WH_100672,25127,4,0,3
WH_100673,7143,8,1,1
WH_100674,52088,2,0,6
WH_100675,45132,7,0,6
WH_100676,32059,3,0,4
WH_100677,16137,1,3,5
WH_100678,12144,4,2,5
WH_100679,24092,7,4,6
WH_100680,13062,4,1,6
WH_100681,38130,0,0,3
WH_100682,13092,8,0,6
WH_100683,42060,8,0,2
WH_100684,9078,4,0,6
WH_100685,33080,3,5,4
WH_100686,37114,3,0,4
WH_100687,7091,0,1,3
WH_100688,7080,6,4,3
WH_100689,18065,6,0,5
WH_100690,33089,4,0,5
WH_100691,31073,7,1,3
WH_100692,5065,4,0,5
WH_100693,25110,6,0,3
WH_100694,22131,8,0,5
WH_100695,25084,1,0,4
WH_100696,12096,4,0,6
WH_100697,32055,7,1,3
WH_100698,8077,3,3,6
WH_100699,8092,5,5,3
WH_100700,30087,7,0,5
WH_100701,15125,4,0,3
WH_100702,27104,8,1,4
WH_100703,42134,7,1,5
WH_100704,6147,1,0,2
WH_100705,14101,8,0,1
WH_100706,15100,6,0,3
WH_100707,21085,4,0,4
WH_100708,22124,7,2,4
WH_100709,24107,6,0,2
WH_100710,7148,5,0,3
WH_100711,25098,6,0,5
WH_100712,28082,5,1,5
WH_100713,31133,0,2,6
WH_100714,6088,4,2,3
WH_100715,29073,0,0,3
WH_100716,46079,4,0,2
WH_100717,16083,6,5,4
WH_100718,6110,4,0,3
WH_100719,49146,0,0,6
WH_100720,32149,4,1,4
WH_100721,8091,3,2,6
WH_100722,31149,3,2,6
WH_100723,20107,0,0,4
WH_100724,23089,8,0,6
WH_100725,19066,2,0,6
WH_100726,22133,7,1,2
WH_100727,6124,7,0,5
WH_100728,32066,6,0,4
WH_100729,51134,7,1,2
WH_100730,20117,4,1,3
WH_100731,21141,4,0,3
WH_100732,29121,4,0,6
WH_100733,6063,8,3,6
WH_100734,19067,3,0,5
WH_100736,26123,7,0,1
WH_100737,22141,1,0,6
WH_100738,6150,5,2,1
WH_100739,20149,7,0,3
WH_100740,43072,1,0,4
WH_100741,19131,5,0,5
WH_100742,27105,0,0,5
WH_100743,50146,6,0,3
WH_100744,8083,7,3,1
WH_100745,31061,8,0,3
WH_100746,28081,1,0,2
WH_100747,20138,5,3,4
WH_100748,36140,1,1,5
WH_100749,6149,8,3,3
WH_100750,39061,6,0,5
WH_100751,5143,7,0,3
WH_100752,23110,0,0,6
WH_100753,16062,2,1,4
WH_100754,31057,5,0,4
WH_100755,12072,2,1,3
WH_100756,19078,0,1,1
WH_100757,22063,4,0,1
WH_100758,14111,1,0,6
WH_100759,6085,1,0,1
WH_100760,9060,7,1,3
WH_100761,47132,5,0,3
WH_100763,18116,3,1,2
WH_100764,6131,5,3,5
WH_100765,25089,6,0,4
WH_100766,36112,7,2,2
WH_100767,12142,7,1,6
WH_100769,17142,1,0,4
WH_100770,44151,0,1,5
WH_100771,7124,6,0,5
WH_100772,25146,8,1,1
WH_100773,25103,7,0,5
WH_100774,7097,1,1,3
WH_100775,10143,4,0,2
WH_100776,25110,6,2,4
WH_100777,36147,6,0,3
WH_100778,8101,7,0,3
WH_100780,40137,5,0,6
WH_100781,5117,5,1,3
WH_100782,18118,7,1,1
WH_100783,6065,4,2,4
WH_100784,39143,1,0,6
WH_100785,27094,1,2,5
WH_100786,15123,2,1,1
WH_100787,15098,5,0,4
WH_100788,27067,1,0,6
WH_100789,25125,6,0,6
WH_100790,19118,1,0,5
WH_100791,41085,7,1,5
WH_100792,14081,4,3,6
WH_100793,16061,2,1,4
WH_100794,28138,5,0,5
WH_100795,18097,7,0,2
WH_100796,19119,7,0,6
WH_100797,6100,4,2,2
WH_100798,18089,1,0,5
WH_100799,39114,0,0,2
WH_100801,41147,8,0,6
WH_100802,30135,6,0,5
WH_100803,15123,6,2,3
WH_100804,31062,7,0,6
WH_100805,19070,8,0,4
WH_100806,7083,3,0,3
WH_100807,18058,6,0,5
WH_100808,26115,1,2,2
WH_100809,13145,3,0,2
WH_100810,23146,5,1,3
WH_100811,45063,0,1,3
WH_100812,53133,6,0,3
WH_100813,29137,0,1,6
WH_100814,30069,8,0,3
WH_100815,6139,7,0,1
WH_100816,44062,3,0,4
WH_100817,17137,3,3,2
WH_100818,17142,8,3,3
WH_100819,5095,6,0,4
WH_100820,20150,7,1,2
WH_100821,20071,5,1,5
WH_100822,31069,4,1,2
WH_100823,20115,3,0,4
WH_100825,31060,2,0,4
WH_100826,6133,3,2,3
WH_100827,28127,8,3,3
WH_100828,29100,4,0,3
WH_100829,8083,8,3,1
WH_100830,25064,4,1,6
WH_100831,34075,1,0,4
WH_100832,51137,3,0,4
WH_100833,14151,0,1,1
WH_100834,6066,2,1,3
WH_100835,6066,1,0,3
WH_100836,6073,1,5,2
WH_100837,41117,5,1,5
WH_100838,29133,4,0,2
WH_100839,40107,4,1,3
WH_100840,18066,0,1,4
WH_100841,28137,7,1,4
WH_100842,24135,8,0,6
WH_100843,8066,6,1,1
WH_100844,39096,1,0,2
WH_100845,19089,6,1,4
WH_100846,7146,0,2,3
WH_100847,49066,7,0,2
WH_100848,16121,3,0,1
WH_100849,20060,5,0,3
WH_100850,12091,7,0,3
WH_100851,5131,8,0,3
WH_100852,4082,0,2,1
WH_100853,15088,3,5,6
WH_100854,19088,2,0,3
WH_100855,23069,2,0,4
WH_100856,23098,5,0,6
WH_100857,37083,6,0,4
WH_100858,32149,1,0,3
WH_100859,17119,7,0,5
WH_100860,26109,7,1,2
WH_100861,6149,3,0,1
WH_100862,37119,0,0,4
WH_100863,40069,2,2,6
WH_100864,22061,7,0,5
WH_100865,16115,5,0,2
WH_100866,43068,6,1,2
WH_100867,28105,6,0,5
WH_100868,38134,3,0,2
WH_100869,27136,5,1,4
WH_100870,32127,2,0,6
WH_100871,10150,7,1,1
WH_100872,21107,6,0,4
WH_100873,25104,6,0,1
WH_100874,32119,6,0,6
WH_100875,31068,8,0,6
WH_100876,35139,7,0,4
WH_100877,30095,7,0,4
WH_100878,16108,2,1,3
WH_100879,18106,0,0,6
WH_100880,12130,1,3,6
WH_100882,14133,7,0,3
WH_100883,52113,7,1,5
WH_100884,6140,6,1,1
WH_100885,24073,1,0,3
WH_100886,4146,8,0,2
WH_100887,29082,0,0,5
WH_100888,6141,6,0,5
WH_100889,22136,0,0,2
WH_100890,16090,8,0,1
WH_100891,18111,4,0,3
WH_100893,24082,1,0,3
WH_100894,28126,5,2,2
WH_100895,27082,5,1,4
WH_100896,31098,3,0,5
WH_100897,54056,4,0,6
WH_100898,35133,3,0,4
WH_100899,22077,0,0,6
WH_100900,17087,7,0,2
WH_100902,21100,1,0,5
WH_100903,23096,1,1,5
WH_100904,39125,5,0,4
WH_100905,8077,5,1,4
WH_100906,22062,7,0,3
WH_100907,5079,4,2,3
WH_100908,26092,7,1,6
WH_100909,49114,5,0,3
WH_100910,30088,8,0,3
WH_100911,41100,6,3,4
WH_100912,13099,2,2,5
WH_100913,8113,3,0,6
WH_100914,34140,4,1,5
WH_100915,24065,7,2,4
WH_100916,8088,3,1,3
WH_100917,28099,6,0,4
WH_100918,25066,7,0,6
WH_100919,37112,7,0,2
WH_100920,11150,7,0,3
WH_100921,23067,4,1,3
WH_100922,6149,4,1,3
WH_100924,30055,4,1,4
WH_100925,14090,8,3,3
WH_100926,5082,0,0,2
WH_100927,15096,5,0,4
WH_100928,20141,7,0,1
WH_100929,29129,4,3,2
WH_100930,32124,3,0,5
WH_100931,17080,2,0,3
WH_100932,8060,3,0,3
WH_100933,14137,3,3,6
WH_100934,22148,2,0,3
WH_100935,21145,0,1,2
WH_100936,25129,1,3,5
WH_100937,28149,7,0,4
WH_100938,43135,0,1,2
WH_100939,13125,3,2,5
WH_100940,36070,7,0,2
WH_100941,5139,5,3,3
WH_100942,20151,1,0,4
WH_100943,33149,7,0,5
WH_100944,22143,7,0,6
WH_100945,31133,4,0,5
WH_100946,29075,0,0,5
WH_100947,20126,0,5,6
WH_100948,32146,5,0,5
WH_100949,14119,5,1,2
WH_100950,22141,7,0,4
WH_100951,28094,8,2,3
WH_100952,31132,7,0,4
WH_100953,8062,5,0,2
WH_100954,37077,1,0,6
WH_100955,27096,5,0,2
WH_100956,31137,5,0,4
WH_100957,28113,4,0,5
WH_100958,36148,2,0,5
WH_100959,35085,8,0,2
WH_100960,7142,4,0,2
WH_100961,32130,1,2,4
