Ware_house_ID,split,Location_type,zone,WH_regional_zone,product_wg_ton,storage_issue_reported_l3m,wh_breakdown_l3m,num_refill_req_l3m,govt_check_l3m,transport_issue_l1y,wh_est_year,workers_num,dist_from_hub,Competitor_in_mkt,retail_shop_num,distributor_num,electric_supply,temp_reg_mach,flood_proof,flood_impacted,is_unrated_warehouse,wh_est_year_missing,certificate_grade,capacity_size,Location_type_Urban,wh_owner_type_Rented,zone_East,zone_South,zone_West,WH_regional_zone_Zone_1,WH_regional_zone_Zone_2,WH_regional_zone_Zone_3,WH_regional_zone_Zone_4,WH_regional_zone_Zone_5
WH_100017,test,Rural,West,Zone 2,17134,13,4,0,12,1,2009,22,261,2,5539,28,1,0,0,0,0,1,4,2,0,0,0,0,1,0,1,0,0,0
WH_100018,train,Rural,North,Zone 3,38082,29,5,4,27,1,2001,22,159,4,4598,58,1,1,0,0,0,0,5,2,0,1,0,0,0,0,0,1,0,0
WH_100019,train,Rural,South,Zone 1,27100,22,2,1,21,1,2009,24,189,2,5679,19,1,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0
WH_100020,train,Rural,South,Zone 2,24062,19,4,8,1,0,2016,41,65,2,5678,31,1,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0
WH_100021,train,Rural,South,Zone 3,17117,14,6,6,19,0,2010,31,156,2,3980,49,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,0,0
WH_100022,train,Rural,North,Zone 6,40150,28,6,5,8,0,1997,24,199,4,3588,69,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
WH_100023,train,Rural,South,Zone 3,32098,25,5,8,19,1,2003,37,80,2,4388,32,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0
WH_100024,train,Urban,West,Zone 5,15125,12,2,1,14,0,2009,31,140,4,5670,25,1,0,0,0,0,1,1,3,1,1,0,0,1,0,0,0,0,1
WH_100025,train,Rural,North,Zone 3,26066,22,3,7,27,1,2006,31,67,3,5496,46,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
WH_100026,train,Rural,West,Zone 6,10077,8,6,5,9,3,2009,21,229,4,4063,40,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
WH_100027,train,Rural,South,Zone 6,14150,11,4,8,9,3,2009,36,98,2,5790,31,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
WH_100028,train,Rural,North,Zone 6,3123,0,0,3,8,1,2009,20,154,1,7692,62,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
WH_100029,test,Rural,West,Zone 6,8056,6,1,8,6,0,2019,24,261,4,5119,48,0,1,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0
WH_100030,test,Rural,West,Zone 4,15082,12,5,5,11,0,2017,17,230,4,4552,67,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0,1,0
WH_100031,train,Rural,North,Zone 6,21064,18,6,4,23,0,2009,19,164,2,3540,21,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
WH_100032,train,Rural,South,Zone 2,45061,34,4,4,12,0,2003,29,197,3,3559,51,1,0,0,0,0,0,4,2,0,0,0,1,0,0,1,0,0,0
WH_100033,train,Rural,South,Zone 4,21116,14,3,7,26,0,2015,24,80,2,6695,51,1,1,0,0,0,0,5,2,0,1,0,1,0,0,0,0,1,0
WH_100034,test,Rural,South,Zone 6,22055,16,1,4,2,0,2012,46,262,2,5329,57,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
WH_100035,test,Rural,North,Zone 5,4141,0,0,0,24,1,2009,30,80,4,5353,28,1,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,1
WH_100036,train,Rural,West,Zone 5,42116,34,5,5,14,0,1998,24,125,3,4031,59,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1
WH_100037,train,Rural,East,Zone 3,19100,17,4,0,27,1,2009,29,77,8,6804,59,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,1,0,0
WH_100038,train,Rural,West,Zone 6,6117,0,0,5,23,0,2021,33,94,4,6915,16,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0
WH_100039,train,Rural,South,Zone 3,47071,38,2,7,19,0,2006,43,153,3,4243,23,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0
WH_100040,train,Rural,West,Zone 6,32117,23,5,3,23,0,2004,32,80,4,6729,21,1,1,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0
WH_100041,train,Rural,South,Zone 1,31087,25,5,1,21,0,2009,30,216,1,4487,46,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
WH_100042,train,Rural,North,Zone 6,20149,16,3,5,28,2,2009,26,247,2,4714,17,0,1,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0
WH_100043,train,Rural,North,Zone 6,31139,25,4,5,28,0,2000,28,123,2,3285,56,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
WH_100044,test,Rural,North,Zone 6,27137,22,4,7,23,1,2005,20,167,2,4922,22,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0
WH_100045,train,Urban,West,Zone 5,31113,21,3,7,14,0,2015,38,220,3,5667,63,1,1,0,0,0,0,5,3,1,0,0,0,1,0,0,0,0,1
WH_100046,test,Rural,South,Zone 4,20092,15,2,1,26,1,2009,30,134,3,5551,30,0,0,0,0,0,1,4,2,0,1,0,1,0,0,0,0,1,0
WH_100047,train,Rural,North,Zone 6,49083,36,6,3,28,0,1998,39,216,3,4200,57,1,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0
WH_100048,train,Rural,West,Zone 6,10145,9,1,1,29,0,2009,40,64,2,5601,53,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0
WH_100049,train,Urban,South,Zone 5,44116,31,5,3,10,0,2000,26,196,3,3700,66,1,1,0,0,0,0,5,3,1,0,0,1,0,0,0,0,0,1
WH_100050,train,Rural,West,Zone 3,8127,6,5,4,19,0,2016,23,240,4,4020,36,0,1,0,0,0,0,5,2,0,1,0,0,1,0,0,1,0,0
WH_100051,train,Urban,West,Zone 6,27128,20,3,4,6,0,2009,23,85,4,4472,50,1,1,0,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0
WH_100052,test,Rural,North,Zone 4,20127,16,5,3,26,0,2009,31,242,5,4248,29,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0
WH_100053,train,Rural,North,Zone 2,23149,18,4,6,1,1,2008,19,190,2,3943,38,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0
WH_100054,test,Rural,South,Zone 3,23134,18,2,4,27,0,2011,27,253,2,4897,44,0,1,0,0,0,0,5,2,0,1,0,1,0,0,0,1,0,0
WH_100055,train,Rural,North,Zone 6,18150,14,3,3,13,0,2015,24,66,4,4524,55,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
WH_100056,train,Rural,West,Zone 6,10080,9,4,6,23,0,2014,20,229,4,5559,49,0,1,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
WH_100057,test,Rural,North,Zone 6,19095,17,3,2,23,4,2009,39,77,2,5308,69,1,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0
WH_100058,train,Rural,South,Zone 1,32057,25,4,1,21,1,2009,27,168,2,4004,38,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0
WH_100059,test,Urban,North,Zone 5,28127,21,6,8,17,0,2010,34,219,2,7311,62,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1
WH_100060,train,Urban,North,Zone 1,27107,23,5,4,30,0,2000,17,110,2,4657,39,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,0,0,0
WH_100061,train,Rural,North,Zone 6,44129,31,2,2,13,0,2009,30,69,4,3810,54,1,1,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0
WH_100062,train,Rural,South,Zone 6,13061,10,5,7,23,0,2012,29,239,4,4445,47,1,1,1,1,0,0,5,3,0,1,0,1,0,0,0,0,0,0
WH_100063,train,Rural,South,Zone 2,25145,20,6,3,32,1,2011,26,237,2,5193,30,0,1,0,0,0,0,5,2,0,1,0,1,0,0,1,0,0,0
WH_100064,train,Rural,North,Zone 6,26060,22,2,1,7,1,2009,16,113,2,4770,37,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
WH_100065,train,Rural,West,Zone 5,28143,25,3,5,25,0,1999,32,181,4,5772,28,1,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,1
WH_100066,train,Rural,South,Zone 4,44116,32,4,4,26,0,2000,22,255,4,6074,49,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0
WH_100067,train,Rural,North,Zone 5,27069,22,4,1,17,0,2009,25,90,3,6720,30,1,0,1,0,0,1,3,3,0,1,0,0,0,0,0,0,0,1
WH_100068,train,Rural,South,Zone 4,34108,27,6,7,26,0,2003,19,151,2,4135,68,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,0,1,0
WH_100069,test,Rural,South,Zone 2,11134,9,3,6,32,1,2009,35,112,3,3880,23,1,1,1,0,0,1,3,2,0,0,0,1,0,0,1,0,0,0
WH_100070,train,Rural,South,Zone 2,22121,17,3,2,32,1,2009,44,196,2,4821,68,1,1,0,0,0,1,1,2,0,1,0,1,0,0,1,0,0,0
WH_100071,train,Rural,North,Zone 2,21076,16,4,3,22,5,2009,38,90,2,4197,29,1,1,0,0,0,1,5,2,0,0,0,0,0,0,1,0,0,0
WH_100072,train,Rural,West,Zone 6,18149,14,1,6,23,0,2014,29,58,2,3820,50,1,1,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
WH_100073,train,Urban,North,Zone 6,27151,22,5,2,6,3,2009,22,140,3,3973,36,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0
WH_100074,train,Rural,North,Zone 3,17143,13,3,2,19,0,2009,29,255,2,4244,38,1,1,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0
WH_100075,test,Rural,North,Zone 5,21130,16,6,6,24,0,2010,28,256,3,2802,40,1,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1
WH_100076,train,Rural,North,Zone 6,18118,14,6,0,29,1,2009,38,95,1,8913,55,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0
WH_100077,train,Urban,North,Zone 2,30115,26,2,3,12,0,2009,37,84,2,5309,16,1,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0
WH_100078,train,Rural,West,Zone 6,10060,8,1,0,15,0,2009,22,83,4,5957,33,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
WH_100079,train,Rural,West,Zone 4,8102,6,5,8,26,2,2009,18,173,4,3919,49,0,1,0,0,0,1,5,2,0,1,0,0,1,0,0,0,1,0
WH_100080,train,Rural,West,Zone 6,20090,18,3,5,23,0,2008,25,212,4,7117,23,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0
WH_100081,train,Rural,West,Zone 6,17140,14,5,2,15,1,2009,11,158,2,4339,63,1,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0
WH_100082,train,Rural,North,Zone 5,22100,18,3,4,24,2,2009,21,103,4,4407,19,1,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,1
WH_100083,train,Urban,North,Zone 6,35130,26,4,1,28,0,2009,34,55,4,4760,48,1,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0
WH_100084,train,Rural,North,Zone 5,17097,13,6,7,17,0,2013,32,257,2,5526,27,1,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1
WH_100085,train,Urban,South,Zone 2,24113,18,1,8,32,0,2011,31,70,2,5245,18,0,1,1,0,0,0,3,2,1,1,0,1,0,0,1,0,0,0
WH_100086,train,Rural,East,Zone 1,39115,28,5,4,31,0,1996,37,160,4,4564,56,1,1,1,0,0,0,5,1,0,0,1,0,0,1,0,0,0,0
WH_100087,train,Rural,South,Zone 5,18123,14,3,7,14,0,2012,33,181,2,6633,27,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,1
WH_100088,train,Rural,North,Zone 6,5103,4,2,1,28,1,2009,28,220,2,6917,35,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
WH_100089,train,Rural,North,Zone 4,7118,6,5,7,26,0,2019,43,96,3,4156,39,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0
WH_100090,train,Rural,West,Zone 4,18117,14,6,1,26,1,2009,26,108,4,4980,36,1,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,1,0
WH_100091,test,Rural,North,Zone 5,28094,23,2,8,14,1,2011,28,271,3,4821,59,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
WH_100092,train,Rural,West,Zone 6,31059,24,3,0,6,2,2009,25,124,5,4456,38,1,0,1,0,0,1,4,3,0,1,0,0,1,0,0,0,0,0
WH_100093,train,Rural,South,Zone 3,18080,16,4,5,19,2,2009,17,263,2,4824,45,0,0,0,0,0,1,3,2,0,1,0,1,0,0,0,1,0,0
WH_100094,train,Rural,North,Zone 6,16060,14,1,5,29,2,2009,22,239,4,3520,45,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0
WH_100095,train,Rural,North,Zone 3,27150,22,3,2,19,0,2009,17,234,4,4739,17,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,1,0,0
WH_100096,train,Rural,West,Zone 4,46100,34,2,7,11,0,1997,23,109,4,5299,35,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0
WH_100097,train,Rural,North,Zone 6,19131,14,6,0,28,1,2009,25,198,2,5239,65,1,0,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0
WH_100098,train,Rural,South,Zone 4,7105,6,5,1,20,0,2009,23,182,2,6086,38,0,0,0,0,0,1,3,2,0,1,0,1,0,0,0,0,1,0
WH_100099,test,Rural,North,Zone 4,14130,0,0,3,26,0,2021,27,173,3,4477,34,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
WH_100100,train,Rural,North,Zone 2,31133,24,3,7,1,0,1997,39,114,4,5118,39,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
WH_100101,test,Rural,South,Zone 2,10140,8,1,1,32,0,2009,29,166,2,5104,28,1,0,0,0,0,1,3,2,0,1,0,1,0,0,1,0,0,0
WH_100102,test,Rural,North,Zone 4,22122,18,4,2,26,0,2009,32,151,5,5218,24,1,0,0,0,0,1,5,2,0,1,0,0,0,0,0,0,1,0
WH_100103,test,Rural,West,Zone 4,18139,14,3,6,26,0,2016,32,96,4,5117,51,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0
WH_100104,train,Rural,West,Zone 4,29073,23,5,1,11,1,2009,27,158,5,5392,58,1,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0
WH_100105,train,Rural,West,Zone 2,17058,12,5,5,12,0,2015,24,141,4,4221,54,1,1,0,1,0,0,5,2,0,0,0,0,1,0,1,0,0,0
WH_100106,train,Rural,South,Zone 4,20057,16,5,5,26,0,2014,29,261,3,6299,21,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0
WH_100107,train,Rural,West,Zone 5,14103,10,3,5,14,0,2020,20,165,2,6541,52,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1
WH_100108,train,Rural,West,Zone 4,8070,6,6,7,11,0,2017,25,204,4,5879,67,1,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0
WH_100109,train,Rural,South,Zone 6,14105,11,4,7,29,1,2009,27,262,3,3430,34,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
WH_100110,train,Rural,North,Zone 5,9114,7,2,6,25,1,2009,44,141,2,5285,62,1,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,1
WH_100111,train,Rural,West,Zone 4,5105,4,3,5,11,0,2009,29,60,3,5153,64,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,1,0
WH_100112,train,Rural,West,Zone 6,14114,12,3,7,23,3,2009,22,130,5,2748,56,0,0,0,0,0,1,3,3,0,1,0,0,1,0,0,0,0,0
WH_100113,train,Rural,South,Zone 4,22062,18,5,2,26,1,2009,12,254,3,6590,27,1,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,1,0
WH_100114,train,Rural,South,Zone 2,24111,18,5,7,32,0,2010,31,227,2,3795,28,1,1,0,0,0,0,5,2,0,1,0,1,0,0,1,0,0,0
WH_100115,train,Rural,South,Zone 6,28121,20,5,4,9,0,2008,27,247,2,5278,51,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0
WH_100116,train,Rural,West,Zone 2,50124,37,4,3,1,0,1997,22,78,4,4418,64,1,0,0,0,0,0,4,2,0,1,0,0,1,0,1,0,0,0
WH_100117,train,Rural,South,Zone 2,6106,0,0,5,32,0,2023,18,248,3,4204,67,0,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0
WH_100118,train,Rural,South,Zone 6,36111,28,5,2,2,1,2009,31,252,2,4292,49,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
WH_100119,test,Rural,South,Zone 5,8097,7,2,2,25,0,2009,23,261,3,6780,40,1,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,1
WH_100120,train,Rural,West,Zone 6,16150,14,4,7,15,3,2009,33,177,3,3046,69,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0
WH_100121,test,Rural,South,Zone 6,19088,15,4,5,29,0,2010,27,105,2,4119,31,1,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0
WH_100122,train,Rural,West,Zone 1,34129,26,2,4,3,0,2000,29,69,4,5340,49,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
WH_100123,train,Rural,North,Zone 5,5103,4,2,4,14,2,2009,33,79,3,6298,51,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1
WH_100124,train,Rural,South,Zone 5,26132,22,6,3,14,1,2009,29,232,3,5243,40,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,1
WH_100125,train,Rural,West,Zone 4,36131,30,2,2,11,1,2009,33,66,2,6320,38,1,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,1,0
WH_100126,train,Rural,South,Zone 3,20065,18,6,8,27,0,2009,27,171,2,4172,68,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0
WH_100127,test,Rural,East,Zone 1,19124,15,5,8,31,0,2011,25,161,8,3948,54,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0
WH_100128,train,Rural,South,Zone 2,24128,21,4,6,12,0,2009,24,110,2,4078,49,1,0,0,0,0,1,3,2,0,0,0,1,0,0,1,0,0,0
WH_100129,train,Rural,North,Zone 2,27085,20,2,4,12,0,2014,32,92,2,4430,33,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
WH_100130,train,Rural,North,Zone 6,33074,26,4,8,13,1,1998,26,262,3,5041,31,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
WH_100131,train,Rural,South,Zone 2,6079,5,1,7,32,0,2022,40,223,3,3825,54,1,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0
WH_100132,train,Rural,North,Zone 1,30106,24,4,1,3,1,2009,39,144,2,4554,31,1,0,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,0
WH_100133,test,Rural,South,Zone 3,21064,15,4,8,27,0,2010,31,86,3,4334,53,1,1,0,0,0,0,5,2,0,0,0,1,0,0,0,1,0,0
WH_100134,test,Rural,North,Zone 1,14062,11,6,6,21,1,2009,36,225,4,5013,32,1,1,0,1,0,1,5,1,0,0,0,0,0,1,0,0,0,0
WH_100135,train,Rural,South,Zone 4,31107,24,4,8,26,1,2006,31,128,3,4670,55,1,0,1,0,0,0,4,2,0,0,0,1,0,0,0,0,1,0
WH_100136,train,Rural,North,Zone 5,21093,16,4,4,5,3,2009,18,196,2,5862,26,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,1
WH_100137,train,Rural,West,Zone 6,12055,9,4,7,23,0,2014,32,145,4,4393,59,1,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0
WH_100138,train,Rural,West,Zone 3,8146,6,1,1,19,1,2009,25,99,4,5150,48,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0
WH_100139,test,Rural,West,Zone 6,24069,18,1,7,15,1,2013,39,115,7,6062,32,1,1,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0
WH_100140,train,Rural,North,Zone 6,19128,15,4,4,28,2,2002,37,187,5,4396,58,1,1,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0
WH_100141,train,Rural,North,Zone 1,6090,4,2,1,3,0,2009,31,58,6,4279,55,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
WH_100142,train,Rural,West,Zone 6,28133,20,1,1,23,0,2009,42,114,2,3775,17,1,0,0,1,0,1,5,3,0,0,0,0,1,0,0,0,0,0
WH_100143,train,Rural,South,Zone 1,21136,17,5,3,16,0,2015,24,200,2,4480,50,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0
WH_100144,train,Rural,South,Zone 5,12118,10,6,2,14,0,2009,18,260,3,4937,40,0,0,0,0,0,1,2,3,0,1,0,1,0,0,0,0,0,1
WH_100145,train,Rural,South,Zone 4,48139,39,4,1,26,0,2009,27,215,2,4763,16,1,0,0,1,0,1,3,2,0,0,0,1,0,0,0,0,1,0
WH_100146,test,Rural,North,Zone 1,28151,21,5,7,3,3,2006,18,97,4,4838,26,0,1,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0
WH_100147,test,Rural,North,Zone 4,30126,24,4,3,26,0,2000,35,106,3,5861,55,1,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0
WH_100148,train,Rural,North,Zone 5,27147,22,3,7,17,1,2009,25,134,3,5420,58,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
WH_100149,train,Rural,South,Zone 2,23135,18,4,6,32,0,2011,24,133,2,4114,53,0,1,0,0,0,0,2,2,0,1,0,1,0,0,1,0,0,0
WH_100150,test,Rural,West,Zone 3,26084,23,5,0,19,0,2009,45,218,5,4028,58,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0
WH_100151,train,Rural,South,Zone 4,30105,24,2,0,26,0,2009,32,119,2,4024,66,0,0,0,0,0,1,5,2,0,0,0,1,0,0,0,0,1,0
WH_100152,train,Rural,West,Zone 3,26123,21,3,1,27,2,2009,22,206,3,4790,47,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0
WH_100153,train,Rural,West,Zone 3,30145,26,4,6,19,0,2002,19,80,4,4340,18,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,1,0,0
WH_100154,train,Rural,North,Zone 3,27112,24,5,5,27,5,2009,26,239,2,3826,50,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0
WH_100155,train,Rural,South,Zone 6,6097,4,3,1,9,4,2009,31,94,3,4818,55,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
WH_100156,train,Rural,North,Zone 5,27058,23,2,3,17,0,2007,26,256,4,4137,50,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
WH_100157,train,Rural,West,Zone 1,15110,12,5,1,30,0,2009,32,206,3,4884,31,1,0,1,0,0,1,3,1,0,1,0,0,1,1,0,0,0,0
WH_100158,train,Rural,North,Zone 6,27119,20,2,4,28,0,2012,32,181,3,4497,52,1,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0
WH_100159,train,Rural,West,Zone 1,23137,19,3,1,30,0,2009,28,233,4,4751,43,1,0,0,0,0,1,3,1,0,1,0,0,1,1,0,0,0,0
WH_100160,train,Rural,North,Zone 6,34138,26,5,1,28,0,2009,40,234,4,4107,68,1,0,0,1,0,1,4,3,0,1,0,0,0,0,0,0,0,0
